catalog_number	plate_location	rack_number	apex_cas_number	apex_item_name	apex_molecular_weight	apex_molecular_formula	apex_smiles	apex_valid_smiles	failed_cas_number	failed_item_name	failed_smiles	super_parent_smiles	super_parent_exact_mass	super_parent_molecular_weight	super_parent_molecular_formula	pubchem_cid
A2512	A11	1	56-75-7	Chloramphenicol	323.13	C11H12Cl2N2O5	C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]	True	False	False	False	O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	322.012326844	323.13200000000006	C11H12Cl2N2O5	5959
A2515	B01	1	31282-04-9	Hygromycin B	527.5	C20H37N3O13	CNC1CC(C(C(C1O)OC2C3C(C(C(O2)CO)O)OC4(O3)C(C(C(C(O4)C(CO)N)O)O)O)O)N	True	False	False	False	CNC1CC(N)C(O)C(OC2OC(CO)C(O)C3OC4(OC(C(N)CO)C(O)C(O)C4O)OC23)C1O	527.2326382439999	527.5240000000001	C20H37N3O13	56928061
A2516	B02	1	25389-94-0	Kanamycin Sulfate	582.58	C18H36N4O11.H2SO4	C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N.OS(=O)(=O)O	True	False	False	False	NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O	484.2380579719999	484.50300000000016	C18H36N4O11	441374
A2517	B03	1	64-75-5	Tetracycline Hydrochloride	480.9	C22H25ClN2O8	CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl	True	False	False	False	CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3CC12	444.1532657279999	444.44000000000017	C22H24N2O8	54704426
A2552	B04	1	6151-25-3	Quercetin dihydrate	338.27	C15H10O7.2H2O	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O.O.O	True	False	False	False	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	302.04265265999993	302.238	C15H10O7	5284452
A2600	B05	1	989-51-5	(-)-Epigallocatechin gallate (EGCG)	458.37	C22H18O11	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O	True	False	False	False	O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1	458.0849113959998	458.37500000000017	C22H18O11	65064
A2604	B06	1	34157-83-0	Celastrol	450.61	C29H38O4	CC1=C(C(=O)C=C2C1=CC=C3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C)O	True	False	False	False	C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C	450.27700969599994	450.6190000000002	C29H38O4	122724
A2689	B07	1	487-52-5	Butein	272.25	C15H12O5	C1=CC(=C(C=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O)O	True	False	False	False	O=C(C=Cc1ccc(O)c(O)c1)c1ccc(O)cc1O	272.068473484	272.256	C15H12O5	5281222
A2842	B08	1	73-31-4	Melatonin	232.28	C13H16N2O2	CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC	True	False	False	False	COc1ccc2[nH]cc(CCNC(C)=O)c2c1	232.121177752	232.283	C13H16N2O2	896
A3118	B09	1	1968-05-4	3,3'-Diindolylmethane	246.31	C17H14N2	C1=CC=C2C(=C1)C(=CN2)CC3=CNC4=CC=CC=C43	True	False	False	False	c1ccc2c(Cc3c[nH]c4ccccc34)c[nH]c2c1	246.115698448	246.313	C17H14N2	3071
A3191	B10	1	104987-12-4	Ascomycin(FK 520)	792.01	C43H69NO12	CCC1C=C(CC(CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC1=O)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC)C)C	True	False	False	False	CCC1=CC(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC	791.481976648	792.0200000000002	C43H69NO12	6475629
A3209	B11	1	477-47-4	AXL1717	414.41	C22H22O8	COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O	True	False	False	False	COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC	414.13146766399996	414.4100000000002	C22H22O8	72435
A3237	C01	1	472-15-1	Betulinic acid	456.7	C30H48O3	CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O	True	False	False	False	C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12	456.3603453959999	456.7110000000003	C30H48O3	64971
A3241	C02	1	33570-04-6	Bilobalide	326.3	C15H18O8	O=C1O[C@]([C@]([C@@](C2([H])[H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])O[H])([C@@]3([H])O[H])[C@](C4([H])[H])1[C@@]2([H])OC4=O)([H])OC3=O	True	False	False	False	CC(C)(C)C1(O)CC2OC(=O)CC23C(=O)OC2OC(=O)C(O)C231	326.10016753599996	326.3010000000001	C15H18O8	73581
A3265	C03	1	72962-43-7	Brassinolide	480.68	C28H48O6	CC(C)[C@H](C)[C@@H](O)[C@H](O)[C@@H](C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])COC([C@@]4([H])C[C@H](O)[C@H](O)C[C@]4(C)[C@@]3([H])CC[C@@]21C)=O	True	False	False	False	CC(C)C(C)C(O)C(O)C(C)C1CCC2C3COC(=O)C4CC(O)C(O)CC4(C)C3CCC12C	480.3450892559999	480.6860000000003	C28H48O6	115196
A3278	C04	1	404-86-4	Capsaicin	305.41	C18H27NO3	CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC	True	False	False	False	COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O	305.199093724	305.41800000000006	C18H27NO3	1548943
A3324	C05	1	64-86-8	Colchicine	399.44	C22H25NO6	CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC	True	False	False	False	COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2	399.16818751999995	399.44300000000015	C22H25NO6	6167
A3335	C06	1	458-37-7	Curcumin	368.38	C21H20O6	COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O	True	False	False	False	COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O	368.1259883599999	368.38500000000005	C21H20O6	969516
A3392	C07	1	518-82-1	Emodin	270.24	C15H10O5	CC1=CC(O)=C2C(C(C3=CC(O)=CC(O)=C3C2=O)=O)=C1	True	False	False	False	Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O	270.05282342000004	270.24	C15H10O5	3220
A3423	C08	1	357-70-0	Galanthamine	287.35	C17H21NO3	[H][C@@]([C@@]1(C([H])=C2[H])C3=C(C([H])=C4[H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])(C([H])([H])[C@@]2([H])O[H])OC3=C4OC([H])([H])[H]	True	False	False	False	COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2	287.152143532	287.359	C17H21NO3	9651
A3424	C09	1	2752-65-0	Gambogic Acid	628.75	C38H44O8	C/C(C)=C\CC[C@]1(C)C=CC(C(O)=C(C(C([C@]2([C@@H](C3)C(C)(C)O[C@]24C/C=C(C(O)=O)/C)O5)=C[C@H]3C4=O)=O)C5=C6C/C=C(C)\C)=C6O1	True	False	False	False	CC(C)=CCCC1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)OC12C(=CC4CC1C(C)(C)OC2(C=CC(C)C(=O)O)C4=O)C3=O	628.3036183679999	628.7620000000001	C38H44O8	9852185
A3528	C10	1	525-79-1	Kinetin	215.21	C10H9N5O	C1=COC(=C1)CNC2=NC=NC3=C2NC=N3	True	False	False	False	c1coc(CN=c2[nH]cnc3[nH]cnc23)c1	215.080709908	215.21600000000004	C10H9N5O	3830
A3555	C11	1	1180-71-8	Limonin	470.51	C26H30O8	CC1(C2CC(=O)C3(C(C24COC(=O)CC4O1)CCC5(C36C(O6)C(=O)OC5C7=COC=C7)C)C)C	True	False	False	False	CC1(C)OC2CC(=O)OCC23C1CC(=O)C1(C)C3CCC2(C)C(c3ccoc3)OC(=O)C3OC321	470.1940679199999	470.5180000000002	C26H30O8	179651
A3583	D01	1	519-02-8	Matrine	248.36	C15H24N2O	O=C1N(C[C@@]2([H])[C@@]3([H])[C@]4([H])CCCN3CCC2)[C@]4([H])CCC1	True	False	False	False	O=C1CCCC2C3CCCN4CCCC(CN12)C34	248.188863388	248.3699999999999	C15H24N2O	91466
A3664	D02	1	500-38-9	Nordihydroguaiaretic acid	302.36	C18H22O4	CC(C(CC1=CC(O)=C(O)C=C1)C)CC2=CC(O)=C(O)C=C2	True	False	False	False	CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1	302.151809184	302.37	C18H22O4	4534
A3723	D03	1	60-82-2	Phloretin	274.27	C15H14O5	O=C(C1=C(O)C=C(O)C=C1O)CCC2=CC=C(O)C=C2	True	False	False	False	O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O	274.08412354800004	274.27199999999993	C15H14O5	4788
A3891	D04	1	38748-32-2	Triptolide	360.41	C20H24O6	CC(C)C12C(O1)C3C4(O3)C5(CCC6=C(C5CC7C4(C2O)O7)COC6=O)C	True	False	False	False	CC(C)C12OC1C1OC13C1(C)CCc4c(coc4O)C1CC1OC13C2O	360.15728848799995	360.406	C20H24O6	107985
A3892	D05	1	38647-11-9	Triptonide	358.39	C20H22O6	CC([C@]12[C@](O2)([H])[C@@](O3)([H])[C@@]43[C@]5(CCC6=C([C@]5([H])C[C@@](O7)([H])[C@@]47C1=O)COC6=O)C)C	True	False	False	False	CC(C)C12OC1C1OC13C1(C)CCc4c(coc4O)C1CC1OC13C2=O	358.14163842399995	358.39000000000004	C20H22O6	65411
A3920	D06	1	143-67-9	Vinblastine sulfate	909.05	C46H60N4O13S	CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O	True	False	False	False	CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1	810.4203794360004	810.9890000000001	C46H58N4O9	5388983
A4052	D07	1	24390-14-5	Doxycycline hyclate	512.94	C22H24N2O8.HC	O=C(N)C(C1=O)=C([C@H]([C@@]2([C@H]([C@@]3([C@H](C4=C(C(O)=CC=C4)C(C3=C([C@@]21O)O)=O)C)[H])O)[H])N(C)C)O.Cl.[0.5H2O].[0.5C2H6O]	False	False	False	True	CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21	444.1532657279999	444.44000000000017	C22H24N2O8	54686183
A4060	D08	1	30562-34-6	Geldanamycin	560.6	C29H40N2O9	CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC	True	False	False	False	COC1=CC=CC(C)C(=O)Nc2cc(O)c(OC)c(c2O)C=C(C)CC(OC)C(O)C(C)C=C(C)C1OC(N)=O	560.2733808599999	560.6440000000003	C29H40N2O9	5288382
A4099	D09	1	1069-66-5	Valproic acid sodium salt (Sodium valproate)	166.19	C8H15NaO2	CCCC(CCC)C(=O)[O-].[Na+]	True	False	False	False	CCCC(CCC)C(=O)O	144.115029752	144.214	C8H16O2	16760703
A4182	D10	1	501-36-0	Resveratrol	228.24	C14H12O3	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O	True	False	False	False	Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1	228.078644244	228.24699999999999	C14H12O3	445154
A4188	D11	1	362-07-2	2-Methoxyestradiol (2-MeOE2)	302.41	C19H26O3	CC12CCC3C(C1CCC2O)CCC4=CC(=C(C=C34)OC)O	True	False	False	False	COc1cc2c(cc1O)CCC1C2CCC2(C)C(O)CCC12	302.18819469199997	302.414	C19H26O3	66414
A4330	E01	1	4759-48-2	Isotretinoin	300.44	C20H28O2	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C	True	False	False	False	CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O	300.208930136	300.44200000000006	C20H28O2	5282379
A4365	E02	1	75330-75-5	Lovastatin	404.54	C24H36O5	CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C	True	False	False	False	CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21	404.2562742519999	404.54700000000025	C24H36O5	53232
A4393	E03	1	33069-62-4	Paclitaxel (Taxol)	853.91	C47H51NO14	O=C(N[C@H]([C@H](C(O[C@H]1C[C@]2(O)C(C)(C)C([C@@H](OC(C)=O)C([C@@]3(C)[C@]([C@@](CO4)(OC(C)=O)[C@H]4C[C@@H]3O)([H])[C@@H]2OC(C5=CC=CC=C5)=O)=O)=C1C)=O)O)C6=CC=CC=C6)C7=CC=CC=C7	True	False	False	False	CC(=O)OC1=C2C(C)C(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(O)C3(C)C1=O)C2(C)C	853.3309553119999	853.9180000000003	C47H51NO14	36314
A4394	E04	1	114977-28-5	Docetaxel	807.88	C43H53NO14	O=C(N[C@H]([C@H](C(O[C@H]1C[C@]2(O)C(C)(C)C([C@@H](O)C([C@@]3(C)[C@]([C@@](CO4)(OC(C)=O)[C@@]4([H])C[C@@H]3O)([H])[C@@H]2OC(C5=CC=CC=C5)=O)=O)=C1C)=O)O)C6=CC=CC=C6)OC(C)(C)C	True	False	False	False	CC(=O)OC12COC1CC(O)C1(C)C(=O)C(=O)C3C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C	807.3466053760001	807.8900000000004	C43H53NO14	148124
A4395	E05	1	32981-86-5	10-DAB (10-Deacetylbaccatin)	544.59	C29H36O10	O[C@](C(C)(C)C1=C(C)[C@H]2O)(C2)[C@H]([C@@H]([C@@](C([C@H]1O)=O)(C)[C@@H]3O)[C@]4([C@@H](C3)OC4)OC(C)=O)OC(C5=CC=CC=C5)=O	True	False	False	False	CC(=O)OC12COC1CC(O)C1(C)C(=O)C(=O)C3C(C)C(O)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C	544.2308473519998	544.5970000000003	C29H36O10	154272
A4448	E06	1	50-76-0	Actinomycin D	1255.43	C62H86N12O16	CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C	True	False	False	False	Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1Oc1c(C)c(O)c(N)c(C(=O)N=C3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)c1N2	1254.6284746719998	1255.4379999999985	C62H86N12O16	457193
A4452	E07	1	50-07-7	Mitomycin C	334.33	C15H18N4O5	NC(C1=O)=C(C)C(C2=C1[C@@H](COC(N)=O)[C@]3(OC)N2C[C@H]4[C@@H]3N4)=O	True	False	False	False	COC12C(=COC(N)=O)c3c(O)c(N)c(C)c(O)c3N1CC1NC12	334.127719676	334.332	C15H18N4O5	5746
A4455	E08	1	20069-09-4	Piperlongumine	317.34	C17H19NO5	COC1=CC(=CC(=C1OC)OC)C=CC(=O)N2CCC=CC2=O	True	False	False	False	COc1cc(C=CC(=O)N2CC=CCC2=O)cc(OC)c1OC	317.126322708	317.34100000000007	C17H19NO5	637858
A4457	E09	1	18883-66-4	Streptozocin	265.22	C8H15N3O7	CN(C(=O)NC1C(C(C(OC1O)CO)O)O)N=O	True	False	False	False	CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O	265.09099982000004	265.222	C8H15N3O7	29327
A5226	E10	1	220620-09-7	Tigecycline	585.65	C29H39N5O8	CC(C)(C)NCC(=O)NC1=C(C2=C(CC3CC4C(C(=O)C(=C(C4(C(=O)C3=C2O)O)O)C(=O)N)N(C)C)C(=C1)N(C)C)O	True	False	False	False	CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c(O)c3c(cc12)CC1C(N(C)C)C(=O)C(C(N)=O)C(=O)C1(O)C3O	585.2798632079999	585.6580000000002	C29H39N5O8	54686904
A5786	E11	1	7681-93-8	Natamycin	665.73	C33H47NO13	O[C@](C1)(C[C@H](C[C@H]2O[C@@H]2/C=C\C(O[C@H](C)C/C=C\C=C/C=C\C=C/[C@@H]3O[C@@H]([C@H]([C@H]4N)O)O[C@H](C)[C@H]4O)=O)O)O[C@](C3)([H])[C@H](C(O)=O)[C@H]1O	True	False	False	False	CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3=CCC(=O)O1)CC(O)C2C(=O)O	665.3047405639999	665.7330000000003	C33H47NO13	5284447
A5938	F01	1	79217-60-0	Cyclosporine	1202.61	C62H111N11O12	CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C	True	False	False	False	CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C	1201.841367992	1202.6349999999982	C62H111N11O12	6435893
A8167	F02	1	53123-88-9	Rapamycin (Sirolimus)	914.18	C51H79NO13	O[C@H]1[C@H](OC)C[C@H](C[C@@H](C)[C@H](CC([C@H](C)/C=C(C)/[C@H]([C@@H](OC)C([C@@H](C[C@@H](/C=C/C=C/C=C(C)/[C@@H](OC)C[C@@H]2CC[C@@H](C)[C@@](C(C(N3[C@H]4CCCC3)=O)=O)(O)O2)C)C)=O)O)=O)OC4=O)CC1	True	False	False	False	COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)=CC(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C	913.5551415880002	914.1869999999998	C51H79NO13	5284616
A8235	F03	1	550-24-3	Embelin	294.39	C17H26O4	CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O	True	False	False	False	CCCCCCCC=CCCc1c(O)c(O)cc(O)c1O	294.183109312	294.39099999999996	C17H26O4	3218
A8244	F04	1	66-81-9	Cycloheximide	281.4	C15H23NO4	CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C	True	False	False	False	CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1	281.162708216	281.352	C15H23NO4	6197
A8369	F05	1	5908-99-6	Atropine sulfate monohydrate	694.83	2(C17H23NO3).H2O.H2SO4	CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.O.OS(=O)(=O)O	True	False	False	False	CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	289.167793596	289.375	C17H23NO3	64663
A8378	F06	1	5593-20-4	Betamethasone Dipropionate	504.59	C28H37FO7	CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC	True	False	False	False	CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C	504.2523317439999	504.5950000000003	C28H37FO7	546807
A8406	F07	1	50-99-7	Dextrose (D-glucose)	180.16	C6H12O6	C(C1C(C(C(C(O1)O)O)O)O)O	True	False	False	False	OCC1OC(O)C(O)C(O)C1O	180.063388104	180.156	C6H12O6	206
A8407	F08	1	61-12-1	Dibucaine (Cinchocaine) HCl	379.92	C20H29N3O2.HCl	CCCCOC1=NC2=CC=CC=C2C(C(NCCN(CC)CC)=O)=C1.Cl	True	False	False	False	CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1	343.225977168	343.4710000000001	C20H29N3O2	521951
A8425	F09	1	50-28-2	Estradiol	272.38	C18H24O2	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O	True	False	False	False	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O	272.177630008	272.388	C18H24O2	5757
A8436	F10	1	60142-96-3	Gabapentin	171.24	C9H17NO2	C1CCC(CC1)(CC(=O)O)CN	True	False	False	False	NCC1(CC(=O)O)CCCCC1	171.125928784	171.23999999999998	C9H17NO2	3446
A8460	F11	1	59-92-7	Levodopa	197.19	C9H11NO4 	C1=CC(=C(C=C1CC(C(=O)O)N)O)O	True	False	False	False	NC(Cc1ccc(O)c(O)c1)C(=O)O	197.068807832	197.19	C9H11NO4	6047
A8462	G01	1	6080-58-6	Lithium Citrate	281.98	C6H5O7.4H2O.3Li	[Li+].[Li+].[Li+].C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.O.O.O.O	True	False	False	False	O=C(O)CC(O)(CC(=O)O)C(=O)O	192.02700259600002	192.12300000000002	C6H8O7	2724118
A8463	G02	1	434-13-9	Lithocholic Acid	376.57	C24H40O3	CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C	True	False	False	False	CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C	376.29774513999996	376.58100000000013	C24H40O3	9903
